code,code1,code2,code3,label,slug
I1502,I,15,02,Intervention en milieu subaquatique,intervention-en-milieu-subaquatique
I1503,I,15,03,Intervention en milieux et produits nocifs,intervention-en-milieux-et-produits-nocifs
I1601,I,16,01,Installation et maintenance en nautisme,installation-et-maintenance-en-nautisme
I1602,I,16,02,Maintenance d'aéronefs,maintenance-d-aeronefs
I1603,I,16,03,"Maintenance d'engins de chantier, levage, manutention et de machines agricoles",maintenance-d-engins-de-chantier-levage-manutention-et-de-machines-agricoles
I1604,I,16,04,Mécanique automobile et entretien de véhicules,mecanique-automobile-et-entretien-de-vehicules
I1605,I,16,05,Mécanique de marine,mecanique-de-marine
I1606,I,16,06,Réparation de carrosserie,reparation-de-carrosserie
I1607,I,16,07,"Réparation de cycles, motocycles et motoculteurs de loisirs",reparation-de-cycles-motocycles-et-motoculteurs-de-loisirs
J1101,J,11,01,Médecine de prévention,medecine-de-prevention
J1102,J,11,02,Médecine généraliste et spécialisée,medecine-generaliste-et-specialisee
