ROME|famille|domaine|metier|label|slugs|famille_label|domaine_label
F1503|F|15|03|Réalisation - installation d'ossatures bois|realisation-installation-d-ossatures-bois|CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS|Montage de structures
F1601|F|16|01|Application et décoration en plâtre, stuc et staff|application-et-decoration-en-platre-stuc-et-staff|CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS|Second oeuvre
F1602|F|16|02|Électricité bâtiment|electricite-batiment|CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS|Second oeuvre
F1603|F|16|03|Installation d'équipements sanitaires et thermiques|installation-d-equipements-sanitaires-et-thermiques|CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS|Second oeuvre
F1604|F|16|04|Montage d'agencements|montage-d-agencements|CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS|Second oeuvre
F1605|F|16|05|Montage de réseaux électriques et télécoms|montage-de-reseaux-electriques-et-telecoms|CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS|Second oeuvre
F1606|F|16|06|Peinture en bâtiment|peinture-en-batiment|CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS|Second oeuvre
F1607|F|16|07|Pose de fermetures menuisées|pose-de-fermetures-menuisees|CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS|Second oeuvre
F1608|F|16|08|Pose de revêtements rigides|pose-de-revetements-rigides|CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS|Second oeuvre
F1609|F|16|09|Pose de revêtements souples|pose-de-revetements-souples|CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS|Second oeuvre
F1610|F|16|10|Pose et restauration de couvertures|pose-et-restauration-de-couvertures|CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS|Second oeuvre
F1611|F|16|11|Réalisation et restauration de façades|realisation-et-restauration-de-facades|CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS|Second oeuvre
F1612|F|16|12|Taille et décoration de pierres|taille-et-decoration-de-pierres|CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS|Second oeuvre
F1613|F|16|13|Travaux d'étanchéité et d'isolation|travaux-d-etancheite-et-d-isolation|CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS|Second oeuvre
F1701|F|17|01|Construction en béton|construction-en-beton|CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS|Travaux et gros oeuvre
F1702|F|17|02|Construction de routes et voies|construction-de-routes-et-voies|CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS|Travaux et gros oeuvre
F1703|F|17|03|Maçonnerie|maconnerie|CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS|Travaux et gros oeuvre
F1704|F|17|04|Préparation du gros oeuvre et des travaux publics|preparation-du-gros-oeuvre-et-des-travaux-publics|CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS|Travaux et gros oeuvre
